"","id","n","correct","near","t","l","cond","csv"
"228",308,10,0,30,1051,2,"uncued",4
"229",308,40,1,30,934,2,"uncued",5
"230",308,30,1,70,1028,2,"uncued",10
"231",308,10,1,30,1143,2,"uncued",19
"232",308,30,1,30,1290,2,"uncued",11
"233",308,30,1,30,1259,2,"uncued",5
"234",308,40,1,70,990,2,"uncued",19
"235",308,40,1,70,977,2,"uncued",11
"236",308,40,1,70,926,2,"uncued",11
"237",308,30,1,70,964,2,"uncued",2
"238",308,20,1,70,979,2,"uncued",10
"239",308,20,0,30,1110,2,"uncued",8
"240",308,10,1,30,906,2,"uncued",14
"241",308,20,1,30,1096,2,"uncued",17
"242",308,10,1,30,943,2,"uncued",7
"243",308,20,1,70,854,2,"uncued",2
"244",308,20,1,70,904,2,"uncued",15
"245",308,20,1,30,928,2,"uncued",16
"246",308,50,1,30,1091,2,"uncued",13
"247",308,20,1,30,1030,2,"uncued",9
"248",308,50,1,30,1079,2,"uncued",12
"249",308,40,1,70,1124,2,"uncued",1
"250",308,30,1,70,966,2,"uncued",15
"251",308,10,1,30,1122,2,"uncued",13
"252",308,30,0,70,1096,2,"uncued",13
"253",308,10,0,30,1132,2,"uncued",16
"254",308,40,1,70,904,2,"uncued",4
"255",308,20,0,30,952,2,"uncued",20
"256",308,10,1,30,923,2,"uncued",10
"257",308,50,1,30,1838,2,"uncued",5
"258",308,10,1,70,820,2,"uncued",14
"259",308,20,1,30,918,2,"uncued",15
"260",308,20,0,30,1006,2,"uncued",20
"261",308,40,1,30,906,2,"uncued",19
"262",308,30,0,30,1067,2,"uncued",14
"263",308,20,1,70,1111,2,"uncued",9
"264",308,20,0,30,1031,2,"uncued",9
"265",308,50,1,70,1100,2,"uncued",5
"266",308,10,1,70,1064,2,"uncued",2
"267",308,20,1,70,1014,2,"uncued",15
"268",308,10,1,70,1032,2,"uncued",12
"269",308,40,1,70,922,2,"uncued",1
"270",308,10,0,30,1015,2,"uncued",8
"271",308,50,1,70,963,2,"uncued",15
"272",308,40,1,30,838,2,"uncued",19
"273",308,10,1,30,1110,2,"uncued",6
"274",308,30,0,30,1437,2,"uncued",16
"275",308,50,1,70,978,2,"uncued",12
"276",308,50,1,70,1087,2,"uncued",18
"277",308,50,1,30,1190,2,"uncued",3
"278",308,30,1,30,1078,2,"uncued",9
"279",308,20,1,70,1081,2,"uncued",16
"280",308,40,0,70,1346,2,"uncued",12
"281",308,50,0,30,1377,2,"uncued",1
"282",308,40,1,30,1742,2,"uncued",12
"283",308,30,1,30,1074,2,"uncued",4
"284",308,50,1,70,777,2,"uncued",18
"285",308,30,1,70,1118,2,"uncued",1
"286",308,50,1,30,1149,2,"uncued",17
"287",308,30,1,70,1254,2,"uncued",1
"288",308,40,1,30,870,2,"uncued",7
"289",308,30,1,30,937,2,"uncued",10
"290",308,50,1,70,934,2,"uncued",3
"291",308,40,0,30,1522,2,"uncued",17
"292",308,30,1,70,1278,2,"uncued",9
"293",308,50,1,70,1129,2,"uncued",4
"294",308,50,1,70,831,2,"uncued",5
"295",308,40,1,30,795,2,"uncued",8
"296",308,50,1,70,906,2,"uncued",8
"297",308,10,1,70,1278,2,"uncued",20
"298",308,50,1,70,919,2,"uncued",13
"299",308,30,1,30,1099,2,"uncued",13
"300",308,20,1,30,1039,2,"uncued",7
"301",308,40,1,70,945,2,"uncued",1
"302",308,50,1,70,895,2,"uncued",17
"303",308,30,1,30,946,2,"uncued",18
"304",308,40,1,30,1294,2,"uncued",11
"305",308,30,1,30,1135,2,"uncued",7
"306",308,30,1,30,933,2,"uncued",7
"307",308,40,1,30,901,2,"uncued",1
"308",308,30,1,70,883,2,"uncued",10
"309",308,50,1,70,886,2,"uncued",18
"310",308,10,1,70,1145,2,"uncued",10
"311",308,40,1,70,746,2,"uncued",14
"312",308,20,1,70,823,2,"uncued",3
"313",308,20,1,30,934,2,"uncued",17
"314",308,30,1,70,1143,2,"uncued",1
"315",308,30,0,30,890,2,"uncued",5
"316",308,20,1,70,762,2,"uncued",17
"317",308,20,1,70,890,2,"uncued",5
"318",308,40,1,30,890,2,"uncued",9
"319",308,50,1,70,1055,2,"uncued",3
"320",308,30,0,30,988,2,"uncued",20
"321",308,40,1,70,858,2,"uncued",16
"322",308,40,1,70,938,2,"uncued",7
"323",308,10,1,70,1096,2,"uncued",3
"324",308,50,1,30,983,2,"uncued",8
"325",308,20,1,70,970,2,"uncued",7
"326",308,20,1,70,990,2,"uncued",10
"327",308,50,1,30,933,2,"uncued",11
"328",308,30,1,30,952,2,"uncued",4
"329",308,30,1,70,1026,2,"uncued",18
"330",308,50,1,70,922,2,"uncued",11
"331",308,50,1,30,838,2,"uncued",6
"332",308,40,1,70,852,2,"uncued",7
"333",308,20,0,30,1434,2,"uncued",19
"334",308,10,0,30,1127,2,"uncued",6
"335",308,50,1,30,1174,2,"uncued",4
"336",308,20,1,70,891,2,"uncued",14
